mkt_event_id,event_ts,user_id,channel,campaign_id,event_type
m_000000065,2026-01-29T16:09:22Z,u_004170,email,sleep_challenge,delivered
m_000000066,2026-01-27T12:25:53Z,u_002986,email,sleep_challenge,opened
m_000000067,2026-02-01T17:53:33Z,u_004510,sms,stress_relief_program,sent
m_000000068,2026-01-28T18:14:32Z,u_004069,sms,new_content_alert,opened
m_000000069,2026-01-27T14:41:26Z,u_003454,sms,heart_health_month,delivered
m_000000070,2026-01-29T01:03:30Z,u_003377,sms,sleep_challenge,sent
m_000000071,2026-01-28T13:39:53Z,u_001988,email,heart_health_month,sent
m_000000072,2026-02-02T19:04:17Z,u_004271,push,heart_health_month,sent
m_000000073,2026-01-31T16:43:11Z,u_002681,email,weight_loss_series,clicked
m_000000074,2026-01-27T20:21:51Z,u_002584,push,new_content_alert,opened
m_000000075,2026-02-02T17:11:59Z,u_003340,sms,weekly_digest,delivered
m_000000076,2026-01-31T23:37:28Z,u_000581,sms,stress_relief_program,clicked
m_000000077,2026-01-31T23:15:37Z,u_004767,email,stress_relief_program,delivered
m_000000078,2026-01-29T17:18:29Z,u_002287,push,heart_health_month,sent
m_000000079,2026-02-02T12:44:22Z,u_004767,push,weight_loss_series,clicked
m_000000080,2026-01-29T01:47:20Z,u_002538,sms,sleep_challenge,sent
m_000000081,2026-01-29T07:28:11Z,u_000602,push,heart_health_month,sent
m_000000082,2026-02-02T03:12:39Z,u_002378,sms,new_content_alert,sent
m_000000083,2026-01-27T06:04:28Z,u_003697,email,weight_loss_series,sent
m_000000084,2026-01-26T20:38:04Z,u_002946,email,new_content_alert,sent
m_000000085,2026-01-31T07:29:14Z,u_001329,email,new_content_alert,delivered
m_000000086,2026-02-01T20:07:27Z,u_001133,sms,stress_relief_program,delivered
m_000000087,2026-01-30T02:48:54Z,u_000752,email,stress_relief_program,sent
m_000000088,2026-01-27T04:53:37Z,u_002454,email,heart_health_month,delivered
m_000000089,2026-01-30T02:56:37Z,u_000426,sms,sleep_challenge,sent
m_000000090,2026-01-29T01:57:57Z,u_004418,email,stress_relief_program,delivered
m_000000091,2026-02-01T00:33:29Z,u_002552,push,weight_loss_series,sent
m_000000092,2026-01-27T00:44:43Z,u_002735,email,sleep_challenge,sent
m_000000093,2026-02-02T06:51:19Z,u_000911,email,heart_health_month,sent
m_000000094,2026-02-02T06:49:48Z,u_002562,push,heart_health_month,sent
m_000000095,2026-01-29T14:22:09Z,u_002033,email,sleep_challenge,clicked
m_000000096,2026-01-28T02:21:38Z,u_001715,push,weekly_digest,sent
m_000000097,2026-01-31T23:57:11Z,u_004200,push,stress_relief_program,delivered
m_000000098,2026-01-29T10:09:56Z,u_000660,push,new_content_alert,delivered
m_000000099,2026-01-30T00:02:52Z,u_000071,email,weight_loss_series,delivered
m_000000100,2026-02-02T01:53:11Z,u_000589,sms,heart_health_month,sent
m_000000101,2026-01-28T01:15:16Z,u_004546,email,weight_loss_series,clicked
m_000000102,2026-01-30T19:25:39Z,u_000297,push,stress_relief_program,sent
m_000000103,2026-01-27T07:38:48Z,u_000104,push,new_content_alert,sent
m_000000104,2026-01-30T17:06:14Z,u_000318,email,sleep_challenge,sent
m_000000105,2026-02-01T19:44:45Z,u_000113,push,stress_relief_program,sent
m_000000106,2026-01-28T04:18:29Z,u_004391,email,weight_loss_series,sent
m_000000107,2026-01-29T08:07:05Z,u_001420,push,new_content_alert,opened
m_000000108,2026-01-27T22:40:33Z,u_000505,push,heart_health_month,sent
m_000000109,2026-02-01T11:01:53Z,u_000972,email,new_content_alert,sent
m_000000110,2026-01-28T20:39:47Z,u_003518,sms,new_content_alert,sent
m_000000111,2026-01-29T09:39:56Z,u_002350,push,weekly_digest,sent
m_000000112,2026-01-31T10:26:22Z,u_003139,email,weight_loss_series,sent
m_000000113,2026-02-01T13:48:14Z,u_004693,email,stress_relief_program,clicked
m_000000114,2026-01-31T17:41:40Z,u_002342,email,sleep_challenge,delivered
m_000000115,2026-02-02T04:48:15Z,u_000443,email,weekly_digest,opened
m_000000116,2026-01-28T13:53:52Z,u_000473,push,new_content_alert,delivered
m_000000117,2026-01-28T13:41:02Z,u_001086,push,weight_loss_series,sent
m_000000118,2026-01-30T16:02:41Z,u_002699,push,sleep_challenge,sent
m_000000119,2026-01-30T21:59:44Z,u_000494,email,weight_loss_series,delivered
m_000000120,2026-01-29T03:59:28Z,u_002228,sms,weight_loss_series,delivered
m_000000121,2026-01-31T05:37:20Z,u_004341,email,heart_health_month,sent
m_000000122,2026-01-27T08:19:57Z,u_002914,sms,new_content_alert,delivered
m_000000123,2026-01-27T21:53:24Z,u_002333,sms,sleep_challenge,delivered
m_000000124,2026-01-31T21:32:05Z,u_003015,push,weekly_digest,delivered
m_000000125,2026-01-28T15:53:58Z,u_001977,sms,sleep_challenge,sent
m_000000126,2026-02-02T03:58:54Z,u_004854,email,weight_loss_series,sent
m_000000127,2026-01-30T04:20:23Z,u_004216,email,new_content_alert,sent
m_000000128,2026-01-27T17:24:32Z,u_003092,sms,weight_loss_series,sent
m_000000129,2026-01-29T09:09:39Z,u_003731,sms,new_content_alert,delivered
m_000000130,2026-02-01T08:37:26Z,u_001557,email,new_content_alert,sent
m_000000131,2026-02-01T03:16:15Z,u_002952,sms,stress_relief_program,opened
m_000000132,2026-01-27T12:02:30Z,u_002028,email,new_content_alert,opened
m_000000133,2026-01-28T13:29:09Z,u_004350,push,sleep_challenge,sent
m_000000134,2026-01-28T15:27:02Z,u_001655,email,sleep_challenge,sent
m_000000135,2026-01-28T12:28:30Z,u_003432,sms,weekly_digest,sent
m_000000136,2026-01-28T06:11:20Z,u_002469,push,heart_health_month,sent
m_000000137,2026-01-28T10:47:28Z,u_001256,sms,sleep_challenge,sent
m_000000138,2026-01-29T00:46:25Z,u_002380,email,weekly_digest,sent
m_000000139,2026-02-01T19:13:44Z,u_001355,push,stress_relief_program,sent
m_000000140,2026-01-29T20:01:40Z,u_002310,push,heart_health_month,sent
m_000000141,2026-02-01T18:59:04Z,u_001258,email,weight_loss_series,opened
m_000000142,2026-02-02T02:48:20Z,u_003514,sms,weekly_digest,opened
m_000000143,2026-02-02T06:07:56Z,u_000550,push,weight_loss_series,opened
m_000000144,2026-01-30T21:08:20Z,u_001382,push,weekly_digest,sent
m_000000145,2026-02-01T12:19:08Z,u_001026,push,new_content_alert,sent
m_000000146,2026-01-28T12:40:49Z,u_000700,push,weight_loss_series,sent
m_000000147,2026-02-01T02:58:03Z,u_001624,sms,heart_health_month,sent
m_000000148,2026-01-27T18:24:14Z,u_003625,push,new_content_alert,sent
m_000000149,2026-01-28T07:16:34Z,u_004795,sms,weight_loss_series,opened
m_000000150,2026-01-31T02:00:36Z,u_001895,push,new_content_alert,opened
m_000000151,2026-01-31T22:02:06Z,u_002060,push,stress_relief_program,sent
m_000000152,2026-01-30T01:07:08Z,u_000354,email,sleep_challenge,sent
m_000000153,2026-02-01T14:05:35Z,u_003273,push,sleep_challenge,sent
m_000000154,2026-01-30T22:46:04Z,u_000510,sms,new_content_alert,delivered
m_000000155,2026-02-02T06:29:42Z,u_000174,push,weekly_digest,sent
m_000000156,2026-01-30T06:08:09Z,u_004508,email,weight_loss_series,sent
m_000000157,2026-01-29T02:13:37Z,u_001056,push,heart_health_month,sent
m_000000158,2026-01-29T11:40:14Z,u_004572,sms,weight_loss_series,sent
m_000000159,2026-01-28T03:49:27Z,u_002569,email,weight_loss_series,sent
m_000000160,2026-02-01T19:48:48Z,u_002193,sms,heart_health_month,opened
m_000000161,2026-01-31T17:55:28Z,u_002237,push,sleep_challenge,opened
m_000000162,2026-01-28T07:17:40Z,u_004603,sms,heart_health_month,sent
m_000000163,2026-01-30T06:27:21Z,u_002130,email,stress_relief_program,sent
m_000000164,2026-01-30T11:51:26Z,u_003078,email,new_content_alert,sent
m_000000165,2026-01-27T02:18:19Z,u_003315,push,new_content_alert,sent
m_000000166,2026-01-30T06:07:52Z,u_004752,push,new_content_alert,delivered
m_000000167,2026-01-27T23:20:27Z,u_000802,email,new_content_alert,sent
m_000000168,2026-01-27T01:55:37Z,u_003096,push,stress_relief_program,sent
m_000000169,2026-01-29T14:46:38Z,u_002925,push,sleep_challenge,sent
m_000000170,2026-02-02T18:40:07Z,u_004701,email,heart_health_month,sent
m_000000171,2026-01-29T22:31:42Z,u_002753,sms,heart_health_month,sent
m_000000172,2026-01-27T07:03:16Z,u_000441,sms,stress_relief_program,sent
m_000000173,2026-01-27T18:25:02Z,u_003335,email,new_content_alert,sent
m_000000174,2026-01-29T04:09:03Z,u_002016,push,weight_loss_series,delivered
m_000000175,2026-01-30T22:48:36Z,u_002845,email,sleep_challenge,sent
m_000000176,2026-01-28T21:51:23Z,u_004707,push,sleep_challenge,opened
m_000000177,2026-02-01T08:22:12Z,u_003556,email,sleep_challenge,delivered
m_000000178,2026-01-28T10:47:06Z,u_003126,sms,heart_health_month,sent
m_000000179,2026-01-28T10:56:39Z,u_001700,push,stress_relief_program,delivered
m_000000180,2026-02-01T15:05:29Z,u_002030,sms,stress_relief_program,opened
m_000000181,2026-01-27T21:30:24Z,u_000266,sms,weekly_digest,delivered
m_000000182,2026-01-29T00:19:27Z,u_000119,sms,weight_loss_series,delivered
m_000000183,2026-01-28T10:00:11Z,u_003384,email,heart_health_month,sent
m_000000184,2026-01-28T15:18:18Z,u_002198,email,heart_health_month,sent
m_000000185,2026-02-02T18:08:09Z,u_002507,email,heart_health_month,sent
m_000000186,2026-01-29T10:27:45Z,u_002198,push,sleep_challenge,opened
m_000000187,2026-01-29T12:51:10Z,u_003422,email,stress_relief_program,delivered
m_000000188,2026-02-01T23:20:19Z,u_004369,email,weekly_digest,sent
m_000000189,2026-01-30T13:13:42Z,u_000294,email,heart_health_month,clicked
m_000000190,2026-02-01T10:23:08Z,u_003490,sms,weekly_digest,sent
m_000000191,2026-01-29T06:40:20Z,u_000470,sms,sleep_challenge,sent
m_000000192,2026-02-02T00:19:42Z,u_001021,sms,new_content_alert,opened
m_000000193,2026-01-29T10:52:50Z,u_000927,push,stress_relief_program,opened
m_000000194,2026-02-02T15:05:08Z,u_002091,sms,stress_relief_program,opened
m_000000195,2026-01-28T17:59:50Z,u_003150,push,heart_health_month,clicked
m_000000196,2026-01-30T12:47:27Z,u_003057,sms,sleep_challenge,sent
m_000000197,2026-01-31T04:06:12Z,u_001304,sms,weight_loss_series,sent
m_000000198,2026-02-02T05:34:06Z,u_001943,email,weekly_digest,sent
m_000000199,2026-01-28T14:54:26Z,u_002254,push,new_content_alert,clicked
m_000000200,2026-02-01T23:46:00Z,u_000371,push,sleep_challenge,unsubscribed
m_000000201,2026-01-28T07:02:27Z,u_002976,push,new_content_alert,sent
m_000000202,2026-01-28T07:41:49Z,u_001502,push,weekly_digest,sent
m_000000203,2026-01-28T17:12:52Z,u_004312,sms,weekly_digest,sent
m_000000204,2026-01-27T20:55:55Z,u_003396,push,new_content_alert,sent
m_000000205,2026-01-28T14:38:20Z,u_002117,push,weight_loss_series,delivered
m_000000206,2026-02-02T17:32:18Z,u_002794,email,heart_health_month,delivered
m_000000207,2026-02-01T07:04:20Z,u_004906,push,weight_loss_series,delivered
m_000000208,2026-02-02T16:49:45Z,u_002162,email,stress_relief_program,delivered
m_000000209,2026-02-02T18:54:53Z,u_004938,push,sleep_challenge,delivered
m_000000210,2026-01-29T09:37:30Z,u_004749,email,new_content_alert,delivered
m_000000211,2026-01-31T19:05:25Z,u_000246,push,heart_health_month,sent
m_000000212,2026-01-26T22:15:39Z,u_003498,sms,weight_loss_series,sent
m_000000213,2026-01-30T23:35:56Z,u_002570,email,weekly_digest,sent
m_000000214,2026-02-02T12:27:52Z,u_002994,push,weekly_digest,delivered
m_000000215,2026-01-31T01:19:49Z,u_000582,push,weekly_digest,delivered
m_000000216,2026-01-29T14:03:54Z,u_003236,sms,weekly_digest,opened
m_000000217,2026-02-01T07:08:11Z,u_002664,push,sleep_challenge,sent
m_000000218,2026-01-29T12:25:44Z,u_003123,push,weekly_digest,delivered
m_000000219,2026-01-29T21:29:22Z,u_002089,push,weekly_digest,sent
m_000000220,2026-01-29T10:03:18Z,u_002704,email,sleep_challenge,sent
m_000000221,2026-01-28T12:03:30Z,u_003004,sms,stress_relief_program,delivered
m_000000222,2026-01-29T19:02:15Z,u_002427,email,weekly_digest,sent
m_000000223,2026-01-28T09:13:15Z,u_003912,email,weight_loss_series,delivered
m_000000224,2026-02-02T16:48:23Z,u_004063,email,new_content_alert,delivered
m_000000225,2026-02-01T02:19:57Z,u_003816,sms,stress_relief_program,sent
m_000000226,2026-01-29T18:24:17Z,u_004210,sms,stress_relief_program,sent
m_000000227,2026-01-30T19:59:09Z,u_003213,sms,weekly_digest,sent
m_000000228,2026-02-01T01:27:29Z,u_004441,email,sleep_challenge,sent
m_000000229,2026-01-31T05:14:59Z,u_003534,push,heart_health_month,sent
m_000000230,2026-01-31T06:21:47Z,u_003592,sms,sleep_challenge,opened
m_000000231,2026-01-30T11:45:04Z,u_003098,email,new_content_alert,sent
m_000000232,2026-01-29T01:59:53Z,u_002715,email,stress_relief_program,delivered
m_000000233,2026-01-29T17:11:17Z,u_001664,sms,weekly_digest,sent
m_000000234,2026-01-28T14:24:50Z,u_000024,push,new_content_alert,sent
m_000000235,2026-01-26T23:34:18Z,u_003495,sms,weight_loss_series,sent
m_000000236,2026-02-02T02:51:13Z,u_000837,push,sleep_challenge,sent
m_000000237,2026-02-01T21:22:15Z,u_001778,sms,weight_loss_series,opened
m_000000238,2026-01-28T04:11:10Z,u_001949,email,weight_loss_series,opened
m_000000239,2026-02-01T22:13:23Z,u_003986,sms,weekly_digest,sent
m_000000240,2026-01-31T22:15:58Z,u_001042,push,weight_loss_series,delivered
m_000000241,2026-02-02T02:54:12Z,u_000157,push,heart_health_month,sent
m_000000242,2026-01-27T15:58:25Z,u_003501,email,sleep_challenge,sent
m_000000243,2026-01-27T05:52:43Z,u_000998,push,weekly_digest,opened
m_000000244,2026-01-27T18:11:12Z,u_003564,push,stress_relief_program,sent
m_000000245,2026-01-28T17:57:05Z,u_004118,push,weekly_digest,delivered
m_000000246,2026-01-27T18:59:22Z,u_004793,email,weekly_digest,sent
m_000000247,2026-01-26T22:38:24Z,u_002068,email,sleep_challenge,sent
m_000000248,2026-01-30T06:45:13Z,u_000203,push,stress_relief_program,opened
m_000000249,2026-01-26T20:57:37Z,u_001588,sms,stress_relief_program,delivered
m_000000250,2026-01-30T00:33:09Z,u_004266,sms,weekly_digest,sent
m_000000251,2026-01-30T06:55:43Z,u_002529,sms,heart_health_month,clicked
m_000000252,2026-02-02T15:27:21Z,u_002998,push,sleep_challenge,sent
m_000000253,2026-02-01T13:19:14Z,u_004275,push,new_content_alert,sent
m_000000254,2026-02-01T04:30:53Z,u_003683,sms,weight_loss_series,sent
m_000000255,2026-01-30T03:22:48Z,u_001787,email,weekly_digest,opened
m_000000256,2026-02-01T14:43:51Z,u_003506,sms,new_content_alert,sent
m_000000257,2026-02-01T06:27:34Z,u_001121,email,stress_relief_program,sent
m_000000258,2026-02-01T12:14:34Z,u_000052,email,weight_loss_series,delivered
m_000000259,2026-02-01T23:42:21Z,u_001855,email,stress_relief_program,sent
m_000000260,2026-01-29T08:40:33Z,u_003259,sms,stress_relief_program,sent
m_000000261,2026-02-01T14:56:26Z,u_001270,push,weekly_digest,sent
m_000000262,2026-01-31T07:45:06Z,u_002909,email,weight_loss_series,sent
m_000000263,2026-01-29T05:00:12Z,u_002847,email,heart_health_month,sent
m_000000264,2026-01-28T13:57:31Z,u_000795,push,weekly_digest,opened
m_000000265,2026-02-02T16:57:00Z,u_004018,push,heart_health_month,opened
m_000000266,2026-02-02T14:54:31Z,u_001718,sms,weekly_digest,delivered
m_000000267,2026-02-01T04:05:46Z,u_000223,push,heart_health_month,opened
m_000000268,2026-01-27T20:57:16Z,u_003064,sms,weight_loss_series,sent
m_000000269,2026-01-28T04:49:43Z,u_000510,email,weekly_digest,delivered
m_000000270,2026-01-30T05:39:06Z,u_004365,email,heart_health_month,sent
m_000000271,2026-01-29T00:55:57Z,u_002803,sms,stress_relief_program,sent
m_000000272,2026-01-28T05:15:04Z,u_000950,push,weekly_digest,sent
m_000000273,2026-02-01T07:19:25Z,u_003540,push,sleep_challenge,sent
m_000000274,2026-01-28T00:37:52Z,u_002844,push,new_content_alert,sent
m_000000275,2026-01-30T04:49:36Z,u_003619,email,new_content_alert,sent
m_000000276,2026-01-27T20:30:40Z,u_000896,push,stress_relief_program,sent
m_000000277,2026-02-02T12:18:07Z,u_001133,push,sleep_challenge,opened
m_000000278,2026-02-01T03:36:41Z,u_002603,push,new_content_alert,sent
m_000000279,2026-01-28T09:59:16Z,u_002449,sms,weight_loss_series,opened
m_000000280,2026-01-27T12:49:53Z,u_001471,email,weight_loss_series,sent
m_000000281,2026-01-30T23:21:12Z,u_004184,push,stress_relief_program,sent
m_000000282,2026-02-02T06:08:37Z,u_001044,sms,new_content_alert,sent
m_000000283,2026-02-02T15:22:42Z,u_002097,push,sleep_challenge,sent
m_000000284,2026-01-30T04:54:22Z,u_002271,sms,sleep_challenge,opened
m_000000285,2026-01-27T21:42:39Z,u_002506,email,weight_loss_series,sent
m_000000286,2026-01-28T00:05:23Z,u_002717,sms,weekly_digest,sent
m_000000287,2026-01-31T19:07:02Z,u_000952,email,heart_health_month,opened
m_000000288,2026-02-01T21:14:51Z,u_003027,email,new_content_alert,opened
m_000000289,2026-01-31T10:38:45Z,u_000271,email,sleep_challenge,sent
m_000000290,2026-01-31T11:34:51Z,u_003349,sms,weekly_digest,sent
m_000000291,2026-01-28T12:26:04Z,u_004035,sms,weight_loss_series,sent
m_000000292,2026-02-02T16:41:54Z,u_002024,sms,stress_relief_program,sent
m_000000293,2026-01-28T09:26:18Z,u_001341,sms,new_content_alert,sent
m_000000294,2026-01-27T09:16:07Z,u_001140,push,sleep_challenge,opened
m_000000295,2026-01-26T22:16:06Z,u_003061,sms,stress_relief_program,sent
m_000000296,2026-01-28T00:01:25Z,u_003557,email,weight_loss_series,delivered
m_000000297,2026-01-29T05:49:48Z,u_001311,email,weekly_digest,opened
m_000000298,2026-01-27T18:36:45Z,u_003305,sms,sleep_challenge,opened
m_000000299,2026-02-01T17:15:12Z,u_003612,email,weight_loss_series,sent
m_000000300,2026-01-31T06:51:19Z,u_004571,push,weekly_digest,clicked
m_000000301,2026-01-31T21:55:23Z,u_004153,sms,weight_loss_series,sent
m_000000302,2026-01-29T16:37:39Z,u_004435,email,weight_loss_series,sent
m_000000303,2026-01-30T09:52:14Z,u_000351,sms,new_content_alert,delivered
m_000000304,2026-01-30T04:10:10Z,u_001894,sms,weekly_digest,opened
m_000000305,2026-01-29T11:26:48Z,u_000941,push,weekly_digest,delivered
m_000000306,2026-01-30T12:50:06Z,u_003593,sms,weekly_digest,sent
m_000000307,2026-01-30T01:59:11Z,u_004585,push,heart_health_month,sent
m_000000308,2026-01-27T12:59:56Z,u_003236,sms,weight_loss_series,sent
m_000000309,2026-02-02T00:01:18Z,u_002905,sms,weight_loss_series,sent
m_000000310,2026-01-31T23:59:53Z,u_001535,sms,sleep_challenge,sent
m_000000311,2026-01-29T19:10:55Z,u_000995,push,stress_relief_program,sent
m_000000312,2026-02-02T04:11:28Z,u_000420,sms,weight_loss_series,delivered
m_000000313,2026-01-29T14:55:00Z,u_001926,push,sleep_challenge,sent
m_000000314,2026-01-26T20:42:20Z,u_004858,push,new_content_alert,clicked
m_000000315,2026-01-28T23:22:46Z,u_000616,sms,heart_health_month,sent
m_000000316,2026-01-28T17:19:00Z,u_000172,push,new_content_alert,delivered
m_000000317,2026-01-30T23:16:34Z,u_001326,push,sleep_challenge,opened
m_000000318,2026-01-28T21:08:34Z,u_004210,push,weekly_digest,sent
m_000000319,2026-01-29T04:21:00Z,u_001006,email,weekly_digest,sent
m_000000320,2026-01-31T20:57:14Z,u_000356,sms,sleep_challenge,sent
m_000000321,2026-02-02T06:42:15Z,u_004225,sms,sleep_challenge,sent
m_000000322,2026-01-31T20:49:50Z,u_001938,push,weight_loss_series,sent
m_000000323,2026-01-30T09:25:38Z,u_003113,sms,heart_health_month,sent
m_000000324,2026-02-01T15:05:26Z,u_002855,sms,heart_health_month,sent
m_000000325,2026-01-31T04:46:32Z,u_004732,push,weekly_digest,sent
m_000000326,2026-01-31T15:13:42Z,u_000873,email,new_content_alert,clicked
m_000000327,2026-02-01T14:26:18Z,u_000054,push,sleep_challenge,delivered
m_000000328,2026-02-01T18:55:42Z,u_001274,email,heart_health_month,delivered
m_000000329,2026-02-01T11:33:17Z,u_001928,push,sleep_challenge,sent
m_000000330,2026-01-27T12:01:32Z,u_001090,email,heart_health_month,sent
m_000000331,2026-01-27T10:09:12Z,u_002930,push,new_content_alert,sent
m_000000332,2026-01-28T18:08:34Z,u_003914,email,weekly_digest,sent
m_000000333,2026-01-27T11:01:30Z,u_004539,push,weekly_digest,sent
m_000000334,2026-01-31T08:13:15Z,u_002744,email,heart_health_month,sent
m_000000335,2026-01-31T23:49:16Z,u_003730,email,sleep_challenge,sent
m_000000336,2026-01-28T21:19:57Z,u_003389,email,heart_health_month,sent
m_000000337,2026-01-30T19:47:20Z,u_002580,sms,heart_health_month,sent
m_000000338,2026-02-02T12:07:57Z,u_004554,push,new_content_alert,sent
m_000000339,2026-02-01T05:27:29Z,u_003899,sms,sleep_challenge,sent
m_000000340,2026-01-29T00:09:33Z,u_000761,email,new_content_alert,delivered
m_000000341,2026-01-29T22:08:41Z,u_000241,sms,weekly_digest,sent
m_000000342,2026-01-30T09:10:08Z,u_001066,sms,weight_loss_series,sent
m_000000343,2026-02-01T01:38:13Z,u_000632,email,weight_loss_series,sent
m_000000344,2026-01-29T07:23:27Z,u_000749,sms,new_content_alert,sent
m_000000345,2026-01-31T04:24:34Z,u_003244,push,weight_loss_series,opened
m_000000346,2026-01-30T23:56:42Z,u_004331,push,sleep_challenge,sent
m_000000347,2026-01-28T11:57:26Z,u_004625,sms,weight_loss_series,sent
m_000000348,2026-02-01T09:22:17Z,u_002061,sms,new_content_alert,sent
m_000000349,2026-01-31T01:48:53Z,u_002598,push,heart_health_month,delivered
m_000000350,2026-02-01T17:15:56Z,u_001012,push,sleep_challenge,sent
m_000000351,2026-02-01T09:30:33Z,u_004058,email,sleep_challenge,sent
m_000000352,2026-01-28T19:56:00Z,u_001447,push,stress_relief_program,delivered
m_000000353,2026-01-30T15:58:32Z,u_002943,push,weight_loss_series,delivered
m_000000354,2026-01-30T00:01:35Z,u_002176,email,weight_loss_series,sent
m_000000355,2026-02-01T16:02:58Z,u_003243,sms,heart_health_month,sent
m_000000356,2026-01-27T08:23:55Z,u_002896,sms,weight_loss_series,sent
